"District","State","YearCode","District.Code","State.Code","Amount.of.Arsenic","Amount.of.carbonate","Amount.of.Calcium","Amount.of.Chloride","Amount.of.Electrical.Conductivity","Amount.of.Fluorine","Amount.of.Iron","Amount.of.Hydrogencarbonate","Amount.of.Potassium","Amount.of.Magnesium","Amount.of.Nitrate","Amount.of.Sodium","Percentage.of.Sodium","Amount.of.Phosphate.Ion","Amount.of.Residual.Sodium.Carbonate","Amount.of.Sodium.absorption.ratio","Amount.of.Sulfate","Amount.of.Silicon.dioxide","Amount.of.Hardness.Total","Amount.of.Alkalinity.Total","Amount.of.Total.Dissolved.Solids","Amount.of.Potential.of.Hydrogen","district_year_id","SDP","Ginni.Index"
"Gaya","Bihar",2011,196,10,"","0","60.8","53","858","","","355","21.34","24.876","","67","","","2.835","1.792","","","254","","","7.746","196_2011",228497,"0.21"
"Gaya","Bihar",2000,196,10,"","","","","","","","","","","","","","","","","","","","","","","196_2000",53656,"0.21"
"Gaya","Bihar",2002,196,10,"","","","","564.666666666667","","","","","","","","","","","","","","","","","8.29333333333333","196_2002",56975,"0.21"
"Gaya","Bihar",2005,196,10,"","0","52","63.8","915","","","340.2","59.16","36.5216666666667","","60.2","","","2.45333333333333","1.588","","","258.333333333333","","","7.41","196_2005",68419,"0.21"
"Gaya","Bihar",2008,196,10,"","0","28.75","86.875","1012","","","217.1375","47.325","21.44","","73.25","","","2.26666666666667","2.645","","","160","","","8.0275","196_2008",97284,"0.21"
"Gaya","Bihar",2015,196,10,"","","","","","","","","","","","","","","","","","","","","","","196_2015",269200,"0.21"
"Gaya","Bihar",2014,196,10,"","","","","","","","","","","","","","","","","","","","","","","196_2014",255739,"0.21"
"Gaya","Bihar",2013,196,10,"","13.3333333333333","36.9666666666667","63.4333333333333","720","0.513333333333333","","237.911111111111","39.3444444444444","30.7933333333333","38.5777777777778","42","","","2.7","1.25","18.1444444444444","","218.888888888889","","","8.28888888888889","196_2013",246915,"0.21"
"Gaya","Bihar",2007,196,10,"","18","34.8571428571429","74","745.428571428571","","","204","32.9142857142857","22.8714285714286","","56.5714285714286","","","2.34290911733333","1.86871724828571","","","181.428571428571","188.671428571429","","8.33571428571429","196_2007",84415,"0.21"
"Gaya","Bihar",2017,196,10,"","","","","","","","","","","","","","","","","","","","","","","196_2017",312605,"0.21"
"Gaya","Bihar",2001,196,10,"","10.8","53.6","84.6","898.4","","","360","21.9","30","","86","","","3.1398166525","2.293919985","","","247","","","8.164","196_2001",50579,"0.21"
"Gaya","Bihar",2004,196,10,"","","","","","","","","","","","","","","","","","","","","","","196_2004",70167,"0.21"
"Ghaziabad","Uttar Pradesh",2000,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2000",160015,"0.4"
"Ghaziabad","Uttar Pradesh",2014,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2014",729686,"0.4"
"Ghaziabad","Uttar Pradesh",2002,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2002",168198,"0.4"
"Ghaziabad","Uttar Pradesh",2005,145,9,"","","","","850","0.7","","","","","","","","","","","","","","","","","145_2005",244514,"0.4"
"Ghaziabad","Uttar Pradesh",2015,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2015",792049,"0.4"
"Ghaziabad","Uttar Pradesh",2004,145,9,"","0","10","28.4","877.4","0.518","","353.8","6.8","34.296","18.8","118","","","7.2011459235","4.2108149844","95.8","","166","289.98","","8.12","145_2004",231029,"0.4"
"Ghaziabad","Uttar Pradesh",2007,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2007",280851,"0.4"
"Ghaziabad","Uttar Pradesh",2017,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2017",922458,"0.4"
"Ghaziabad","Uttar Pradesh",2006,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2006",263935,"0.4"
"Ghaziabad","Uttar Pradesh",2008,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2008",302192,"0.4"
"Ghaziabad","Uttar Pradesh",2012,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2012",673552,"0.4"
"Ghaziabad","Uttar Pradesh",2016,145,9,"","48","29.6","59.6","870","0.48","","300.4","36.66","34","37.5","80.6","","","1.9362410104","2.5","54","29.2","214","","565.6","8.202","145_2016",888453,"0.4"
"Ghaziabad","Uttar Pradesh",2001,145,9,"","","39.4","33.2","656","0.64","","339","5.6","36.4","11","54","","","","1.576","34","","249.6","","","8.14","145_2001",162926,"0.4"
"Ghaziabad","Uttar Pradesh",2018,145,9,"","","41","26.5875","734.75","0.47","","380.335","5.5","32.4","78","74.5","","","","","34.75","34.25","237.5","","","7.8475","145_2018",949184,"0.4"
"Ghaziabad","Uttar Pradesh",2010,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2010",346621,"0.4"
"Ghaziabad","Uttar Pradesh",2009,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2009",320989,"0.4"
"Ghaziabad","Uttar Pradesh",2013,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2013",707469,"0.4"
"Ghaziabad","Uttar Pradesh",2003,145,9,"","","","","893.333333333333","0.466666666666667","","","","","","","","","","","","","","","","","145_2003",177054,"0.4"
"Ghaziabad","Uttar Pradesh",2011,145,9,"","","","","","","","","","","","","","","","","","","","","","","145_2011",645132,"0.4"
"Ghazipur","Uttar Pradesh",2011,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2011",645132,"0.24"
"Ghazipur","Uttar Pradesh",2005,146,9,"","","","36","523","0.32","","","","","16","","","","","","","","","","","7.8","146_2005",244514,"0.24"
"Ghazipur","Uttar Pradesh",2008,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2008",302192,"0.24"
"Ghazipur","Uttar Pradesh",2009,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2009",320989,"0.24"
"Ghazipur","Uttar Pradesh",2002,146,9,"","","","107.875","1251.75","0.517142857142857","","","","","86.6375","","","","","","","","","","","8.0375","146_2002",168198,"0.24"
"Ghazipur","Uttar Pradesh",2010,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2010",346621,"0.24"
"Ghazipur","Uttar Pradesh",2012,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2012",673552,"0.24"
"Ghazipur","Uttar Pradesh",2015,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2015",792049,"0.24"
"Ghazipur","Uttar Pradesh",2001,146,9,"","","24.75","108","938.375","0.44125","","301.875","2.125","52.875","48.3428571428571","92.75","","","","2.3675","54.4285714285714","","283.625","","","8.0625","146_2001",162926,"0.24"
"Ghazipur","Uttar Pradesh",2006,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2006",263935,"0.24"
"Ghazipur","Uttar Pradesh",2013,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2013",707469,"0.24"
"Ghazipur","Uttar Pradesh",2003,146,9,"","","","","795.56","0.566666666666667","","","","","","","","","","","","","","","","","146_2003",177054,"0.24"
"Ghazipur","Uttar Pradesh",2004,146,9,"","0","15.3333333333333","73.8333333333333","850.833333333333","0.853333333333333","","312.5","9.575","49.05","8.33333333333333","92.6666666666667","","","2.174","2.35666666666667","69","","240","256.166666666667","","8.00416666666667","146_2004",231029,"0.24"
"Ghazipur","Uttar Pradesh",2017,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2017",922458,"0.24"
"Ghazipur","Uttar Pradesh",2016,146,9,"","39","27.2","89.01","794.3","0.56","","291.6","4.32","48.9","24.1833333333333","69.8","","","-0.6528056576","1.788","31.34","26.2","268.5","","516.5","8.206","146_2016",888453,"0.24"
"Ghazipur","Uttar Pradesh",2000,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2000",160015,"0.24"
"Ghazipur","Uttar Pradesh",2014,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2014",729686,"0.24"
"Ghazipur","Uttar Pradesh",2018,146,9,"","66","32","151.128571428571","1088.57142857143","0.471428571428571","","306.742857142857","9.71428571428571","62.8845714285714","17.85","112.714285714286","","","","","81.8571428571429","27.4285714285714","338.571428571429","","","8.25142857142857","146_2018",949184,"0.24"
"Ghazipur","Uttar Pradesh",2007,146,9,"","","","","","","","","","","","","","","","","","","","","","","146_2007",280851,"0.24"
"Giridih","Jharkhand",2001,329,20,"","","","","","","","","","","","","","","","","","","","","","","329_2001",28500,"0.21"
"Giridih","Jharkhand",2014,329,20,"","","","","","","","","","","","","","","","","","","","","","","329_2014",170568,"0.21"
"Giridih","Jharkhand",2012,329,20,"","0","46","78.3333333333333","566","0.375","","148.083333333333","2.775","19.1275","19.85","34.2933333333333","","","4.2","1.41083333333333","30.7272727272727","","193.333333333333","","","8.00833333333333","329_2012",149526,"0.21"
"Giridih","Jharkhand",2018,329,20,"","","","","","","","","","","","","","","","","","","","","","","329_2018",208701,"0.21"
"Giridih","Jharkhand",2002,329,20,"","","","","677.666666666667","","","","","","","","","","","","","","","","","8.19333333333333","329_2002",29298,"0.21"
"Giridih","Jharkhand",2017,329,20,"","","","","","","","","","","","","","","","","","","","","","","329_2017",191573,"0.21"
"Giridih","Jharkhand",2006,329,20,"","0","70","77","686.666666666667","","","205.333333333333","3.86666666666667","14.6733333333333","","42.3333333333333","","","","1.2","","","235","","","7.95333333333333","329_2006",51527,"0.21"
"Giridih","Jharkhand",2011,329,20,"","0","40","70.36","559.8","","","148.26","1.38","21.904","","39.586","","","","1.346","","","178","","","7.794","329_2011",137383,"0.21"
"Giridih","Jharkhand",2010,329,20,"","0","36","52.635","518.166666666667","","","147.525","1.71666666666667","17.6166666666667","","41.3333333333333","","","0.46","1.47","","","162.5","","","7.4","329_2010",76134,"0.21"
"Giridih","Jharkhand",2003,329,20,"","","","","576.5","0.615","","","","","","","","","","","","","","","","7.50357142857143","329_2003",31515,"0.21"
"Giridih","Jharkhand",2000,329,20,"","8","24.6666666666667","73.6666666666667","547","","","175","4.1","7.66666666666667","","44","","","4.21","2.05333333333333","","","290","","","8.2","329_2000",26663,"0.21"
"Giridih","Jharkhand",2004,329,20,"","0","40.6666666666667","62","603.333333333333","","","167.666666666667","2.21666666666667","21.3216666666667","","41.1666666666667","","","0.8","1.33333333333333","","","189.166666666667","","","8.12833333333333","329_2004",53056,"0.21"
"Giridih","Jharkhand",2009,329,20,"","2.4","39.2","61.6","579.6","","","154.8","1.94","19.18","","60","","","","2.056","","","172","","","7.906","329_2009",66465,"0.21"
"Giridih","Jharkhand",2015,329,20,"","","","","","","","","","","","","","","","","","","","","","","329_2015",158231,"0.21"
"Giridih","Jharkhand",2007,329,20,"","","","","","","","","","","","","","","","","","","","","","","329_2007",63005,"0.21"
"Giridih","Jharkhand",2016,329,20,"","","","","","","","","","","","","","","","","","","","","","","329_2016",176363,"0.21"
"Giridih","Jharkhand",2008,329,20,"","3","53.5","79.75","752","","","209.25","2.75","17.075","","86.5","","","1.28","2.7875","","","205","","","7.81","329_2008",60472,"0.21"
"Giridih","Jharkhand",2013,329,20,"","0","49.4","83.7","557.7","0.363","","147.4","5.28","21.579","22.03","27.8","","","","0.759","17.8","","212","","","7.982","329_2013",150609,"0.21"
"Giridih","Jharkhand",2005,329,20,"","0","45.6","81","646","","","177","4.92","24.37","","46.4","","","","1.406","","","214","","","7.85","329_2005",50678,"0.21"
"Goalpara","Assam",2005,287,18,"","0","26.5","","236.5","0.241666666666667","2.2","87","","3.6","","","","","0.0733333333333333","","11.75","","81.25","110.7","","7.3075","287_2005",48602,"0.24"
"Goalpara","Assam",2013,287,18,"","0","14","","311","0.35","0.23","40","0.19","4.15","0","16","","","","0.96","22.69","","52","32.8","","7.1","287_2013",138725,"0.24"
"Goalpara","Assam",2007,287,18,"","0","15.2857142857143","","243.142857142857","1.9","0.704285714285714","84.1428571428571","0.4025","3.35","","","","","1.86666666666667","","8","","52.1428571428571","45.1","","7.50857142857143","287_2007",52968,"0.24"
"Goalpara","Assam",2003,287,18,"","","","","","","","","","","","","","","","","","","","","","","287_2003",37905,"0.24"
"Goalpara","Assam",2012,287,18,"","0","10","","346","","","30.7","13","28.75","","32","","","","1.16","","","140","25.2","","7.45","287_2012",132518,"0.24"
"Goalpara","Assam",2001,287,18,"","","","","","","","","","","","","","","","","","","","","","","287_2001",33668,"0.24"
"Goalpara","Assam",2017,287,18,"","","","","","","","","","","","","","","","","","","","","","","287_2017",195262,"0.24"
"Goalpara","Assam",2009,287,18,"","1.28571428571429","12.2857142857143","","212.857142857143","0.418333333333333","0.628333333333333","83.45","","14.95","","","","","4.66","","8.71428571428571","","92.1428571428571","70.5714285714286","","7.98","287_2009",61294,"0.24"
"Goalpara","Assam",2000,287,18,"","0","43","","135","","0.004","40","11","5","","11","","","","0.42","","","60","","","6.4","287_2000",32821,"0.24"
"Goalpara","Assam",2008,287,18,"","0","16","","253.375","0.315714285714286","0.62375","86.925","","8.6575","","0.21","","","2.32","0.01","5.375","","75.625","89.9","","7.82375","287_2008",56123,"0.24"
"Goalpara","Assam",2006,287,18,"","0","14.3333333333333","","183.833333333333","0.145","0.651666666666667","52","","1.805","","","","","0.12","","7","","43.3333333333333","40.2","","7.09833333333333","287_2006",50797,"0.24"
"Goalpara","Assam",2018,287,18,"0","0","13.2606","35.006875","171.25","0.1875","0.2472875","44.4105","10.2725","3.7850727755","2.3354375","16.02625","","0","-0.468224027","0.9601470095","13.936525","0","53.75","51.291","90.51125","7.0585","287_2018",204627,"0.24"
"Goalpara","Assam",2016,287,18,"","13.3333333333333","13.5555555555556","23.9663527777778","209","0.406666666666667","1.7225","78.6666666666667","12.9955555555556","5.79288033333333","0.4","25.3544444444444","","","0","0","2.461916396125","","57.7777777777778","92","111.645555555556","7.77777777777778","287_2016",179632,"0.24"
"Goalpara","Assam",2002,287,18,"","","","","","","","","","","","","","","","","","","","","","","287_2002",35708,"0.24"
"Goalpara","Assam",2010,287,18,"","0","14","","371","0.35","0.23","40","10.5","4.12","3.6","37.8","","","","2.28","5.69","","52","","","7.1","287_2010",64310,"0.24"
"Goalpara","Assam",2011,287,18,"","0","10","","346","","","30.75","13","28.75","","32","","","","1.16","","","140","","","7.45","287_2011",129354,"0.24"
"Goalpara","Assam",2004,287,18,"","","","","","","","","","","","","","","","","","","","","","","287_2004",47181,"0.24"
"Goalpara","Assam",2014,287,18,"","34.6666666666667","26.0571428571429","38.2571428571429","184","0.6075","0.275714285714286","59.4285714285714","4.13142857142857","8.92142857142857","2","14.1428571428571","","","-1.13142857142857","0.64","4.36285714285714","","101.714285714286","73.4728571428571","","8.07571428571429","287_2014",146425,"0.24"
"Goalpara","Assam",2015,287,18,"","34","24.1333333333333","33.9166666666667","223.833333333333","0.481666666666667","0.452","74","7.69166666666667","6.73333333333333","1.045","22.2316666666667","","","0.42","1.02666666666667","3.265","","87.1666666666667","98.4333333333333","","8.13166666666667","287_2015",167629,"0.24"
"Godda","Jharkhand",2004,330,20,"","0","82.5","113.75","842.5","","","225.75","2.675","18.335","","57.25","","","1.3","1.675","","","281.25","","","7.61","330_2004",53056,"0.18"
"Godda","Jharkhand",2011,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2011",137383,"0.18"
"Godda","Jharkhand",2012,330,20,"","0","45.6","131.8","390.8","0.2925","","309.8","4.3","33.492","10.6","77","","","1.51333333333333","2.072","9.52","","253","","","7.834","330_2012",149526,"0.18"
"Godda","Jharkhand",2009,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2009",66465,"0.18"
"Godda","Jharkhand",2018,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2018",208701,"0.18"
"Godda","Jharkhand",2014,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2014",170568,"0.18"
"Godda","Jharkhand",2013,330,20,"","0","24","21","567","0.14","","293","25","22","8","35","","","3.58","1.24","0","","150","","","7.6","330_2013",150609,"0.18"
"Godda","Jharkhand",2007,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2007",63005,"0.18"
"Godda","Jharkhand",2006,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2006",51527,"0.18"
"Godda","Jharkhand",2010,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2010",76134,"0.18"
"Godda","Jharkhand",2005,330,20,"","7.2","54.4","139","886","","","173","3.84","32.89","","74.2","","","","2.014","","","271","","","8.212","330_2005",50678,"0.18"
"Godda","Jharkhand",2016,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2016",176363,"0.18"
"Godda","Jharkhand",2008,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2008",60472,"0.18"
"Godda","Jharkhand",2000,330,20,"","0","52","170","712","","","397","4.1","22","","108","","","4.2","3.16","","","220","","","8.2","330_2000",26663,"0.18"
"Godda","Jharkhand",2003,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2003",31515,"0.18"
"Godda","Jharkhand",2001,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2001",28500,"0.18"
"Godda","Jharkhand",2002,330,20,"","27","46","81.5","655","","","170.75","3.6","27.4075","","35.25","","","","1.0175","","","227.5","","","8.305","330_2002",29298,"0.18"
"Godda","Jharkhand",2017,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2017",191573,"0.18"
"Godda","Jharkhand",2015,330,20,"","","","","","","","","","","","","","","","","","","","","","","330_2015",158231,"0.18"
"Golaghat","Assam",2013,288,18,"","0","39.2","","482.5","0.8","0.455","128","3.045","5.605","1.45","12.35","","","0.76","0.57","21.765","","162","104.9","","7.8","288_2013",138725,"0.22"
"Golaghat","Assam",2017,288,18,"","","","","","","","","","","","","","","","","","","","","","","288_2017",195262,"0.22"
"Golaghat","Assam",2006,288,18,"","0","26.5","","505.75","0.7975","1.64","198.25","","14.2","","","","","8.62","","42.25","","125","","","7.2075","288_2006",50797,"0.22"
"Golaghat","Assam",2009,288,18,"","","","","","","","","","","","","","","","","","","","","","","288_2009",61294,"0.22"
"Golaghat","Assam",2001,288,18,"","","","","","","","","","","","","","","","","","","","","","","288_2001",33668,"0.22"
"Golaghat","Assam",2002,288,18,"","","","","","","","","","","","","","","","","","","","","","","288_2002",35708,"0.22"
"Golaghat","Assam",2011,288,18,"","5","17.3333333333333","","363.666666666667","","","148.333333333333","3","20.4166666666667","","34","","","2.68","1.28","","","125","","","8.28","288_2011",129354,"0.22"
"Golaghat","Assam",2003,288,18,"","","","","","","","","","","","","","","","","","","","","","","288_2003",37905,"0.22"
"Golaghat","Assam",2000,288,18,"","","","","","","","","","","","","","","","","","","","","","","288_2000",32821,"0.22"
"Golaghat","Assam",2005,288,18,"","0","20.6666666666667","","453.333333333333","0.28","0.486666666666667","65.3333333333333","","4.43333333333333","","","","","0.21","","33.6666666666667","","70","","","7.07333333333333","288_2005",48602,"0.22"
"Golaghat","Assam",2004,288,18,"","","","","","","","","","","","","","","","","","","","","","","288_2004",47181,"0.22"
"Golaghat","Assam",2014,288,18,"","32","40","63.5","540","0.25","1.09","80","2.53","15.605","2.1","32.9","","","-1.8","1.36","22.85","","164","118.91","","8.45","288_2014",146425,"0.22"
"Golaghat","Assam",2008,288,18,"","0","52.5","","719.75","0.355","1.15666666666667","206.75","","19.25","","","","","0.24","","37","","211.25","","","8.1775","288_2008",56123,"0.22"
"Golaghat","Assam",2010,288,18,"","0","64.4","","922","0.48","","180","11.7","29.1","4.6","54","","","","1.4","13.84","","281","","","7.9","288_2010",64310,"0.22"
"Golaghat","Assam",2016,288,18,"","22.5","26.05","40.6364671875","447.5","0.76625","1.551875","129.6875","24.5875","16.4963591875","2.43125","32.983125","","","0","0","13.568571762125","","133.125","152.1875","234.281875","7.9134375","288_2016",179632,"0.22"
"Golaghat","Assam",2012,288,18,"","5","17.3333333333333","","297","","","148.333333333333","3","20.2066666666667","","37.3333333333333","","","2.78","1.42","","","125","129.933333333333","","8.28","288_2012",132518,"0.22"
"Golaghat","Assam",2015,288,18,"","60","17.28","56.4","446.4","0.132","3.096","72.8","8.868","15.388","2.12","58.72","","","1.332","2.93","32.76","","106.4","139.674","","8.214","288_2015",167629,"0.22"
"Golaghat","Assam",2018,288,18,"0","9","23.769","41.210625","516.625","0.4725","0.12235","69.5555","8.4925","21.37305816625","3.347525","11.205","","0","-2.59049644114286","0.429242498","15.13435","0","173.125","87.57","220.537142857143","7.6775","288_2018",204627,"0.22"
"Golaghat","Assam",2007,288,18,"","0","8.4","","101.4","","0.162","43","0.12","4.38","","","","","0.06","","4.6","","39","","","7.712","288_2007",52968,"0.22"
"Gonda","Uttar Pradesh",2006,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2006",263935,"0.24"
"Gonda","Uttar Pradesh",2015,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2015",792049,"0.24"
"Gonda","Uttar Pradesh",2018,147,9,"","36","37","33.687","531.5","0.243333333333333","","256.2","3.21","22.8","13","43.19","","","","","13.8333333333333","13.55","187.5","","","8.13","147_2018",949184,"0.24"
"Gonda","Uttar Pradesh",2009,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2009",320989,"0.24"
"Gonda","Uttar Pradesh",2000,147,9,"","","53.8181818181818","65.0090909090909","802.454545454545","0.5375","","389.272727272727","11.1545454545455","51.0909090909091","11.7025","48.7272727272727","","","","1.09090909090909","30.36","","344.545454545455","","","8.10909090909091","147_2000",160015,"0.24"
"Gonda","Uttar Pradesh",2007,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2007",280851,"0.24"
"Gonda","Uttar Pradesh",2005,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2005",244514,"0.24"
"Gonda","Uttar Pradesh",2003,147,9,"","","","","653.5","0.49","","","","","","","","","","","","","","","","","147_2003",177054,"0.24"
"Gonda","Uttar Pradesh",2001,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2001",162926,"0.24"
"Gonda","Uttar Pradesh",2012,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2012",673552,"0.24"
"Gonda","Uttar Pradesh",2014,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2014",729686,"0.24"
"Gonda","Uttar Pradesh",2017,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2017",922458,"0.24"
"Gonda","Uttar Pradesh",2010,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2010",346621,"0.24"
"Gonda","Uttar Pradesh",2004,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2004",231029,"0.24"
"Gonda","Uttar Pradesh",2013,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2013",707469,"0.24"
"Gonda","Uttar Pradesh",2011,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2011",645132,"0.24"
"Gonda","Uttar Pradesh",2008,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2008",302192,"0.24"
"Gonda","Uttar Pradesh",2002,147,9,"","","","","","","","","","","","","","","","","","","","","","","147_2002",168198,"0.24"
"Gonda","Uttar Pradesh",2016,147,9,"","0","63.7647058823529","23.2941176470588","615.764705882353","0.686470588235294","0","328.117647058824","4.46235294117647","20.2705882352941","8.85866666666667","34.7058823529412","","","0.998611882352941","0.950060823529412","15.5529411764706","54.0588235294118","244.117647058824","0","400.220588235294","7.90882352941176","147_2016",888453,"0.24"
"Gondia","Maharashtra",2001,476,27,"","0","51.1304347826087","78.4782608695652","709.130434782609","0.615652173913043","","233.217391304348","3.8695652173913","36.2608695652174","34.5652173913044","33.9130434782609","","","1.08571428571429","0.889565217391304","21.8260869565217","","276.086956521739","","","8.04695652173913","476_2001",217963,"0.4"
"Gondia","Maharashtra",2011,476,27,"","0","","","659.333333333333","0.391764705882353","","138.888888888889","","","43.0555555555556","","","","","","","","213.888888888889","113.844444444444","","7.94611111111111","476_2011",1126595,"0.4"
"Gondia","Maharashtra",2007,476,27,"","0","58.3636363636364","75.9545454545455","588.636363636364","0.504545454545455","0.364","190.272727272727","4.54545454545455","16.7090909090909","19.6295454545455","31.7181818181818","","","1.179245686","0.955374790409091","19.6136363636364","","214.681818181818","","","7.60909090909091","476_2007",538081,"0.4"
"Gondia","Maharashtra",2008,476,27,"","0","47.8260869565217","81.804347826087","551.304347826087","0.533913043478261","1.245","134.730434782609","5.36673913043478","15.8478260869565","27.1161739130435","29.2","","","0.914285714285714","0.946086956521739","25.2208695652174","","184.782608695652","","","7.82173913043478","476_2008",546533,"0.4"
"Gondia","Maharashtra",2012,476,27,"","0","44.8235294117647","95.5294117647059","628.823529411765","0.731764705882353","","151.588235294118","","41.9594117647059","21.94375","","","","1.8","","56.5","","284.411764705882","124.264705882353","","7.61764705882353","476_2012",1189711,"0.4"
"Gondia","Maharashtra",2006,476,27,"","0","58.1739130434783","77.4478260869565","643.478260869565","0.637391304347826","0.127","199.108695652174","4.31739130434783","17.1695652173913","27.8086956521739","42.2217391304348","","","2.632","1.2504347826087","20.4347826086957","","216.086956521739","","","7.83478260869565","476_2006",481983,"0.4"
"Gondia","Maharashtra",2009,476,27,"","0","74.3333333333333","81.6666666666667","692.777777777778","0.473333333333333","","202","8.41111111111111","18.5933333333333","32.1111111111111","34.1111111111111","","","3.8","0.93","37.8333333333333","","261.944444444444","165.577777777778","","7.88333333333333","476_2009",599338,"0.4"
"Gondia","Maharashtra",2004,476,27,"","0","69.0909090909091","78.3181818181818","695","0.475909090909091","","248.136363636364","4.7","24.6454545454545","18.4545454545455","28.7272727272727","","","0.88","0.715","16.8409090909091","","273.863636363636","","","7.90227272727273","476_2004",370023,"0.4"
"Gondia","Maharashtra",2018,476,27,"0","0","58.5841010526316","100.810973684211","978.105263157895","0.532105263157895","0","313.876184210526","11.4352631578947","42.4584421052632","28.8421052631579","58.1578947368421","","5.26315789473684e-05","-5.05729366242105","0.408613138894737","40.5578947368421","0.563157894736842","324.347368421053","0","0","7.44210526315789","476_2018",1728578,"0.4"
"Gondia","Maharashtra",2010,476,27,"","","","","771.578947368421","0.580555555555556","","","","57.2005263157895","28.1578947368421","","","","","","","","235.263157894737","","","8.19473684210526","476_2010",667625,"0.4"
"Gondia","Maharashtra",2000,476,27,"","0","72","91.25","719.166666666667","0.457","","216.25","5.36666666666667","22.3333333333333","30.9166666666667","32.2583333333333","","","1.09","0.886666666666667","27.5833333333333","","272.083333333333","","","7.78916666666667","476_2000",210526,"0.4"
"Gondia","Maharashtra",2005,476,27,"","0","47.1818181818182","84.1818181818182","629.545454545455","0.486","","197.045454545455","4.37727272727273","26.5909090909091","18.9545454545455","39.8272727272727","","","1.985","1.105","21.5","","227.045454545455","","","7.83636363636364","476_2005",423632,"0.4"
"Gondia","Maharashtra",2013,476,27,"","5.42857142857143","51.5238095238095","162.571428571429","771.047619047619","0.428","","140.333333333333","","24.0280952380952","21","","","","0.81","","37","","227.380952380952","124.080952380952","","8.17142857142857","476_2013",1267551,"0.4"
"Gondia","Maharashtra",2002,476,27,"","0","53.7777777777778","85.3888888888889","632.222222222222","0.503529411764706","","169.444444444444","4.39444444444444","18.15","27.1666666666667","40.2","","","1.295","1.2","21.1277777777778","","209.166666666667","","","7.67666666666667","476_2002",232994,"0.4"
"Gondia","Maharashtra",2017,476,27,"","","74.5575391304348","83.5465369565217","900.130434782609","0.419269565217391","","258.065065217391","12.7673913043478","25.4063652173913","40.2727272727273","51.725652173913","","0.5","6.96034872727273","0.692640272727273","46.5521739130435","11.9","280.334782608696","","","7.68695652173913","476_2017",1661065,"0.4"
"Gondia","Maharashtra",2015,476,27,"","0","80","149.625","846","0.48125","","209","5.94375","24.10875","27","57.75","","","-5.1","1.49875","63.5","","298.75","171.3125","","7.675","476_2015",1452513,"0.4"
"Gondia","Maharashtra",2003,476,27,"","","","","657.777777777778","0.427272727272727","","","","","","","","","","","","","","","","","476_2003",250989,"0.4"
